file,line/location,old_reference,new_reference,reference_type,reason,action
audit_script.py,L91,results/phase2_2/models/model_20_SET_A.pt,models/archive/model_20_SET_A.pt,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L7,notebooks/Phase_2/01_Phase_2_Model_Training.ipynb,notebooks/archive/01_Phase_2_Model_Training.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L8,notebooks/Phase_2/02_Phase_2_Model_Evaluation.ipynb,notebooks/archive/02_Phase_2_Model_Evaluation.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L9,notebooks/Phase_2_1/01_Phase_2_1_Experiments_Training.ipynb,notebooks/archive/01_Phase_2_1_Experiments_Training.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L10,notebooks/Phase_2_1/02_Phase_2_1_Evaluation.ipynb,notebooks/archive/02_Phase_2_1_Evaluation.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L11,notebooks/Phase_2_2/01_Phase_2_2_Experiments_Training.ipynb,notebooks/archive/01_Phase_2_2_Experiments_Training.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L12,notebooks/Phase_2_2/02_Phase_2_2_Evaluation.ipynb,notebooks/archive/02_Phase_2_2_Evaluation.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L13,notebooks/Phase_2_3/01_Phase_2_3_Training.ipynb,notebooks/archive/01_Phase_2_3_Training.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L14,notebooks/Phase_2_3/02_Phase_2_3_Final_Evaluation.ipynb,notebooks/archive/02_Phase_2_3_Final_Evaluation.ipynb,executable dependency,Path changed in migration,UPDATE
combine_notebooks.py,L35,notebooks/CyberCast_All_Phases.ipynb,notebooks/archive/CyberCast_All_Phases.ipynb,executable dependency,Path changed in migration,UPDATE
create_notebook.py,L421,notebooks/Phase_2_3_Complete_Analysis.ipynb,notebooks/archive/Phase_2_3_Complete_Analysis.ipynb,executable dependency,Path changed in migration,UPDATE
create_pipeline_notebook.py,L26,nootebooks/CyberCast_Complete.ipynb,notebooks/archive/CyberCast_Complete.ipynb,executable dependency,Path changed in migration,UPDATE
create_pipeline_notebook.py,L26,notebooks/CyberCast_Complete.ipynb,notebooks/archive/CyberCast_Complete.ipynb,executable dependency,Path changed in migration,UPDATE
create_pipeline_notebook.py,L27,nootebooks/CyberCast_Complete.ipynb,notebooks/archive/CyberCast_Complete.ipynb,executable dependency,Path changed in migration,UPDATE
create_pipeline_notebook.py,L27,notebooks/CyberCast_Complete.ipynb,notebooks/archive/CyberCast_Complete.ipynb,executable dependency,Path changed in migration,UPDATE
create_pipeline_notebook.py,L35,scripts/phase2_2_experiments.py,scripts/phase2_2_experiments.py,executable dependency,Path changed in migration,UPDATE
create_pipeline_notebook.py,L42,scripts/phase2_3_experiments.py,scripts/phase2_3_experiments.py,executable dependency,Path changed in migration,UPDATE
create_pipeline_notebook.py,L48,notebooks/CyberCast_All_Pipelines.ipynb,notebooks/archive/CyberCast_All_Pipelines.ipynb,executable dependency,Path changed in migration,UPDATE
cybercast_pipeline.py,L6,cybercast_pipeline.py,archive/cybercast_pipeline.py,executable dependency,Path changed in migration,UPDATE
cybercast_pipeline.py,L642,models/scaler.pkl,models/archive/scaler.pkl,executable dependency,Path changed in migration,UPDATE
cybercast_pipeline.py,L643,models/scaler.pkl,models/archive/scaler.pkl,executable dependency,Path changed in migration,UPDATE
cybercast_pipeline.py,L918,models/best_world_model.pt,models/archive/best_world_model.pt,executable dependency,Path changed in migration,UPDATE
cybercast_pipeline.py,L1053,models/logistic_regression.pkl,models/archive/logistic_regression.pkl,executable dependency,Path changed in migration,UPDATE
fix.py,L4,scripts/phase2_3_experiments.py,scripts/phase2_3_experiments.py,executable dependency,Path changed in migration,UPDATE
fix.py,L17,scripts/phase2_3_experiments.py,scripts/phase2_3_experiments.py,executable dependency,Path changed in migration,UPDATE
fix.py,L18,scripts/phase2_3_experiments.py,scripts/phase2_3_experiments.py,executable dependency,Path changed in migration,UPDATE
fix23.py,L69,notebooks/Phase_2_3/02_Phase_2_3_Final_Evaluation.ipynb,notebooks/archive/02_Phase_2_3_Final_Evaluation.ipynb,executable dependency,Path changed in migration,UPDATE
generate_notebook.py,L175,models/feature_scaler.pkl,models/archive/feature_scaler.pkl,executable dependency,Path changed in migration,UPDATE
generate_notebook.py,L175,models/scaler.pkl,models/archive/scaler.pkl,executable dependency,Path changed in migration,UPDATE
generate_notebook.py,L823,models/cybercast_best_model.pt,models/archive/cybercast_best_model.pt,executable dependency,Path changed in migration,UPDATE
generate_notebook.py,L823,models/phase2_1/best_model.pt,models/archive/best_model.pt,executable dependency,Path changed in migration,UPDATE
