current_path,filename,file_size,SHA256,architecture,phase,experiment,feature_set,history_length,referenced_production,referenced_dashboard,referenced_notebooks,classification
models/best_world_model.pt,best_world_model.pt,1126577,d8bbb85ce13842d1933e986a29cb83a411e03b5da8a12726d28e2da7f71b7c11,LSTM,Phase 1 / Legacy,LEGACY,Unknown,Unknown,False,False,True,LEGACY
models/cybercast_best_model.pt,cybercast_best_model.pt,227713,dcc6b38e156eb594271732f21f030266949c37570427a9c769a45e8058649628,LSTM,Phase 1 / Legacy,LEGACY,Unknown,Unknown,False,False,True,LEGACY
models/phase2_1/best_model.pt,best_model.pt,227559,ccabf2724f31dbf8d8e666dc21fe4d07abba90a58b596954d443c6d5f7b509cc,LSTM,Phase 2.1,LEGACY,Unknown,Unknown,False,False,True,LEGACY
models/phase2_3/model_SET_A_h20.pt,model_SET_A_h20.pt,218764,c8c1e405404471daa52ef7c9f6c8a2bb22c381cfaafc84ce85d8633f27370a47,LSTM,Phase 2.3,BASELINE,SET_A,20,False,False,True,BASELINE
models/phase2_3/model_SET_R_h10.pt,model_SET_R_h10.pt,294604,42b1003770b755c2db40023f303b25f8016623633d98e10deaae9e9ccc90a47b,LSTM,Phase 2.3,EXPERIMENTAL,SET_R,10,False,False,True,EXPERIMENTAL
models/phase2_3/model_SET_R_h20.pt,model_SET_R_h20.pt,294604,66e70b5b1bdafe861ceecff19ca995e702ea34f8fc5a15feefbd1846340a73ec,LSTM,Phase 2.3,PRODUCTION_FROZEN,SET_R,20,True,False,True,PRODUCTION_FROZEN
models/phase2_3/model_SET_R_h30.pt,model_SET_R_h30.pt,294604,9b8ebb943751e7820b8acb3819fa7f510ef3094e9886be6bf16d3df5ce633685,LSTM,Phase 2.3,EXPERIMENTAL,SET_R,30,False,False,True,EXPERIMENTAL
models/phase2_3/model_SET_R_h5.pt,model_SET_R_h5.pt,294597,a4a8d17a3d5a6ac0a75a5375ca25810f6f0b3177381feee96d16bc2284c8cb79,LSTM,Phase 2.3,EXPERIMENTAL,SET_R,5,False,False,True,EXPERIMENTAL
models/phase2_3/model_SET_R_Repro_1_h20.pt,model_SET_R_Repro_1_h20.pt,294724,990f53b4fcdf41b8f2b7d2a7520404d8be117de1d0a0f043fd2b17b04a262786,LSTM,Phase 2.3,EXPERIMENTAL,SET_R,20,False,False,False,EXPERIMENTAL
models/phase2_3/model_SET_R_Repro_2_h20.pt,model_SET_R_Repro_2_h20.pt,294724,94ffb6aa65fd23a43d0d046347807085c50df3f21a711bda65d486627e37e42e,LSTM,Phase 2.3,EXPERIMENTAL,SET_R,20,False,False,False,EXPERIMENTAL
