feature,importance
PSH Flag Cnt,0.1638959395470368
SYN Flag Cnt,0.039973168875888865
Fwd Pkt Len Mean,0.010200105461519893
TotLen Bwd Pkts,0.00734876340985724
Flow Byts/s,0.006725754052702149
URG Flag Cnt,0.0038503500781623123
FIN Flag Cnt,0.0037488942175928353
Flow Pkts/s,0.00344862284078562
RST Flag Cnt,0.0031126441273653938
Bwd Pkt Len Mean,0.0017847814767047998
TotLen Fwd Pkts,0.0017512255395626397
Tot Bwd Pkts,0.0007212395051487408
ACK Flag Cnt,3.948264125852585e-05
Tot Fwd Pkts,7.626468394472674e-06
Flow Duration,-0.00440169364307208
