,LogisticRegression,CyberCast_Research,CyberCast_Operational
precision,0.26397869912514266,0.533585619678335,0.23487332339791356
recall,0.8696741854636592,0.706766917293233,0.9874686716791979
f1,0.4050189670265538,0.6080862533692722,0.37948470984830246
roc_auc,0.731875411658014,0.8633385306259459,0.8633385306259459
pr_auc,0.4050089179518536,0.7117341324363442,0.7117341324363442
fpr,0.544456949915588,0.13871693866066404,0.7222847495779403
fnr,0.13032581453634084,0.2932330827067669,0.012531328320802004
TP,694.0,564.0,788.0
TN,1619.0,3061.0,987.0
FP,1935.0,493.0,2567.0
FN,104.0,234.0,10.0
