Horizon_Windows,Horizon_Seconds,PR_AUC
1,10,0.5570971598754473
2,20,0.556094949802053
3,30,0.5555270143941089
4,40,0.5550837488611794
5,50,0.5541890898776056
6,60,0.553368027165777
7,70,0.553273594781946
8,80,0.5533959931641274
9,90,0.5539481427445214
10,100,0.5545296697456517
11,110,0.5551814152434892
12,120,0.5554048987375321
13,130,0.5551343001437686
14,140,0.5543283991528954
15,150,0.5540169138894544
16,160,0.5509865286498523
17,170,0.5475833683609362
18,180,0.5436284160471891
19,190,0.5394744380553248
20,200,0.5349257665433218
21,210,0.5310216178734914
22,220,0.5282384280781296
23,230,0.5250799386605206
24,240,0.5219762109512854
25,250,0.5190881721505605
26,260,0.5154117050688806
27,270,0.5116446561279866
28,280,0.5089523205146785
29,290,0.5053643210939938
30,300,0.5007218064074351
