onset_idx,attack_type,onset_timestamp,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t0
3046,Benign,2018-02-15 09:27:40,0.005905965808779001,0.0056521715596318245,0.00599188357591629,0.00615239143371582,0.006288499105721712,0.006330262869596481,0.005058488342911005,0.0039641656912863255,0.004487295635044575,0.006453576032072306,0.006911848671734333,0.007833038456737995,0.008903014473617077,0.01336890272796154,0.01688586175441742,0.01968887634575367,0.02373262494802475,0.03127749264240265,0.029670480638742447,0.02628902904689312,0.08457468450069427
3106,DoS attacks-GoldenEye,2018-02-15 09:37:40,0.008289437741041183,0.011012515984475613,0.01228933222591877,0.012850499711930752,0.01436355710029602,0.01602746918797493,0.021135086193680763,0.02691255509853363,0.025256197899580002,0.02711755596101284,0.02814648486673832,0.03510526940226555,0.03855540603399277,0.04003751277923584,0.04517359659075737,0.033640630543231964,0.0230474304407835,0.019498562440276146,0.0173936914652586,0.01586178131401539,0.055625125765800476
3176,DoS attacks-GoldenEye,2018-02-15 09:49:20,0.011074713431298733,0.00890806969255209,0.008165538311004639,0.01130338478833437,0.01622074283659458,0.012843508273363113,0.007479596417397261,0.008719075471162796,0.01057254895567894,0.011239827610552311,0.017650151625275612,0.01992420107126236,0.018408363685011864,0.017304789274930954,0.017704302445054054,0.018175818026065826,0.020868787541985512,0.020744774490594864,0.026853501796722412,0.030975937843322754,0.09012112766504288
3257,Benign,2018-02-15 10:02:50,0.010109523311257362,0.0124362176284194,0.01549625489860773,0.015105050057172775,0.011177567765116692,0.010307530872523785,0.011369960382580757,0.010005769319832325,0.010652657598257065,0.011041933670639992,0.012089008465409279,0.01420903392136097,0.011511072516441345,0.009533843956887722,0.011857644654810429,0.011447354219853878,0.0112590491771698,0.012000389397144318,0.016300756484270096,0.018815869465470314,0.019841259345412254
3601,DoS attacks-Slowloris,2018-02-15 11:00:10,0.019783660769462585,0.02670459821820259,0.034317873418331146,0.045178044587373734,0.03408794105052948,0.028952840715646744,0.022382840514183044,0.014697584323585033,0.013685441575944424,0.010597748681902885,0.009322299621999264,0.010288126766681671,0.008591936901211739,0.008280716836452484,0.00974543672055006,0.013147978112101555,0.012576360255479813,0.011323577724397182,0.010497013106942177,0.009995590895414352,0.2554498612880707
4589,DoS attacks-Hulk,2018-02-16 01:45:20,0.0017354656010866165,0.0013972930610179901,0.0012308054137974977,0.001139906351454556,0.005336073227226734,0.005165635608136654,0.00298149767331779,0.0019218727247789502,0.0014663389883935452,0.001252918504178524,0.001142529072239995,0.009336922317743301,0.006686327047646046,0.008086600340902805,0.004117786884307861,0.002267309231683612,0.001607644953764975,0.001327135949395597,0.008403761312365532,0.005360580049455166,0.5446959733963013
7630,DoS attacks-SlowHTTPTest,2018-02-16 10:12:10,0.004751015920192003,0.002917753765359521,0.015036307275295258,0.022931978106498718,0.014598269946873188,0.005618429742753506,0.0028179821092635393,0.001916231936775148,0.0015274930046871305,0.0013245586305856705,0.0012070672819390893,0.0011345796519890428,0.0010884160874411464,0.0010582871036604047,0.0010382536565884948,0.0010247549507766962,0.004878203850239515,0.004880861844867468,0.0028917621821165085,0.04083101451396942,0.7133316993713379
8720,DDOS attack-HOIC,2018-02-21 02:11:00,0.021986335515975952,0.03761101886630058,0.046644072979688644,0.01099443156272173,0.0030670934356749058,0.0016687456518411636,0.01002965122461319,0.00928537268191576,0.004470932297408581,0.009665737859904766,0.004390364047139883,0.0022291881032288074,0.0015509239165112376,0.0012825155863538384,0.008066164329648018,0.008357556536793709,0.018661728128790855,0.027661839500069618,0.045085277408361435,0.11006905138492584,0.3864721357822418
11587,DDOS attack-LOIC-UDP,2018-02-21 10:08:50,0.004862548783421516,0.0027648359537124634,0.012075461447238922,0.010718105360865593,0.004988000262528658,0.0027610245160758495,0.00973781943321228,0.026488063856959343,0.01213509775698185,0.004453993868082762,0.009157370775938034,0.004313305485993624,0.0021805043797940016,0.0015243224333971739,0.00888301432132721,0.00939332228153944,0.00479334220290184,0.0027317034546285868,0.009949651546776295,0.009441304951906204,0.5183812975883484
11594,DDOS attack-LOIC-UDP,2018-02-21 10:10:00,0.026488063856959343,0.01213509775698185,0.004453993868082762,0.009157370775938034,0.004313305485993624,0.0021805043797940016,0.0015243224333971739,0.00888301432132721,0.00939332228153944,0.00479334220290184,0.0027317034546285868,0.009949651546776295,0.009441304951906204,0.5183812975883484,0.928402304649353,0.9732131958007812,0.9785668849945068,0.9751921892166138,0.9208198189735413,0.8909920454025269,0.9363585710525513
11599,DDOS attack-LOIC-UDP,2018-02-21 10:10:50,0.0021805043797940016,0.0015243224333971739,0.00888301432132721,0.00939332228153944,0.00479334220290184,0.0027317034546285868,0.009949651546776295,0.009441304951906204,0.5183812975883484,0.928402304649353,0.9732131958007812,0.9785668849945068,0.9751921892166138,0.9208198189735413,0.8909920454025269,0.9363585710525513,0.8914401531219482,0.874851405620575,0.8795468807220459,0.8141500949859619,0.933271586894989
11606,DDOS attack-LOIC-UDP,2018-02-21 10:12:00,0.009441304951906204,0.5183812975883484,0.928402304649353,0.9732131958007812,0.9785668849945068,0.9751921892166138,0.9208198189735413,0.8909920454025269,0.9363585710525513,0.8914401531219482,0.874851405620575,0.8795468807220459,0.8141500949859619,0.933271586894989,0.9663469791412354,0.9731272459030151,0.9746862649917603,0.973574161529541,0.9156267642974854,0.8869134187698364,0.9413527250289917
11611,DDOS attack-LOIC-UDP,2018-02-21 10:12:50,0.9751921892166138,0.9208198189735413,0.8909920454025269,0.9363585710525513,0.8914401531219482,0.874851405620575,0.8795468807220459,0.8141500949859619,0.933271586894989,0.9663469791412354,0.9731272459030151,0.9746862649917603,0.973574161529541,0.9156267642974854,0.8869134187698364,0.9413527250289917,0.8978827595710754,0.8837583661079407,0.8707030415534973,0.8798077702522278,0.9618740081787109
11618,DDOS attack-LOIC-UDP,2018-02-21 10:14:00,0.8141500949859619,0.933271586894989,0.9663469791412354,0.9731272459030151,0.9746862649917603,0.973574161529541,0.9156267642974854,0.8869134187698364,0.9413527250289917,0.8978827595710754,0.8837583661079407,0.8707030415534973,0.8798077702522278,0.9618740081787109,0.9751297235488892,0.9774370193481445,0.9762411713600159,0.9731864333152771,0.9164080023765564,0.8873146772384644,0.9211249947547913
11623,DDOS attack-LOIC-UDP,2018-02-21 10:14:50,0.973574161529541,0.9156267642974854,0.8869134187698364,0.9413527250289917,0.8978827595710754,0.8837583661079407,0.8707030415534973,0.8798077702522278,0.9618740081787109,0.9751297235488892,0.9774370193481445,0.9762411713600159,0.9731864333152771,0.9164080023765564,0.8873146772384644,0.9211249947547913,0.9005610346794128,0.8924878835678101,0.9007165431976318,0.9036800265312195,0.9642931818962097
11630,Benign,2018-02-21 10:16:00,0.8798077702522278,0.9618740081787109,0.9751297235488892,0.9774370193481445,0.9762411713600159,0.9731864333152771,0.9164080023765564,0.8873146772384644,0.9211249947547913,0.9005610346794128,0.8924878835678101,0.9007165431976318,0.9036800265312195,0.9642931818962097,0.9752002358436584,0.9768536686897278,0.9769376516342163,0.9771080017089844,0.9242614507675171,0.8916202783584595,0.9296850562095642
11635,DDOS attack-LOIC-UDP,2018-02-21 10:16:50,0.9731864333152771,0.9164080023765564,0.8873146772384644,0.9211249947547913,0.9005610346794128,0.8924878835678101,0.9007165431976318,0.9036800265312195,0.9642931818962097,0.9752002358436584,0.9768536686897278,0.9769376516342163,0.9771080017089844,0.9242614507675171,0.8916202783584595,0.9296850562095642,0.8859672546386719,0.873274564743042,0.8703195452690125,0.875299870967865,0.9609711170196533
11642,Benign,2018-02-21 10:18:00,0.9036800265312195,0.9642931818962097,0.9752002358436584,0.9768536686897278,0.9769376516342163,0.9771080017089844,0.9242614507675171,0.8916202783584595,0.9296850562095642,0.8859672546386719,0.873274564743042,0.8703195452690125,0.875299870967865,0.9609711170196533,0.9748033881187439,0.9780951738357544,0.9786564111709595,0.977641761302948,0.9419177174568176,0.8970211148262024,0.9308359622955322
11647,DDOS attack-LOIC-UDP,2018-02-21 10:18:50,0.9771080017089844,0.9242614507675171,0.8916202783584595,0.9296850562095642,0.8859672546386719,0.873274564743042,0.8703195452690125,0.875299870967865,0.9609711170196533,0.9748033881187439,0.9780951738357544,0.9786564111709595,0.977641761302948,0.9419177174568176,0.8970211148262024,0.9308359622955322,0.8845768570899963,0.8778894543647766,0.8761435747146606,0.8702419996261597,0.9602369666099548
11654,Benign,2018-02-21 10:20:00,0.875299870967865,0.9609711170196533,0.9748033881187439,0.9780951738357544,0.9786564111709595,0.977641761302948,0.9419177174568176,0.8970211148262024,0.9308359622955322,0.8845768570899963,0.8778894543647766,0.8761435747146606,0.8702419996261597,0.9602369666099548,0.9747424125671387,0.9774488806724548,0.9790803790092468,0.978260338306427,0.9493455290794373,0.9039585590362549,0.9139276146888733
